Id,Solution,Clue1,Clue2,Clue3,Clue1_BA,Clue2_BA,Clue3_BA
1,Screen,Green,Shot,Play,B,A,A
2,Weight,Paper,Feather,Heavy,B,B,B
3,Star,Light,Rock,Sign,A,B,A
4,Pack,Back,Six,Jet,B,B,B
5,Chair,Arm,Lift,High,B,A,B
6,Party,House,Hat,Animal,B,A,A
7,Set,Sun,Up,Back,B,A,A
8,Pepper,Black,Bell,Corn,B,B,A
9,Fish,Gold,Eye,Fly,B,A,B
10,Day,Time,Sun,Light,A,B,A
11,Bed,Flower,Bug,Room,B,A,A
12,Gun,Fire,Machine,Glue,A,B,B
13,Lamp,Desk,Post,Street,B,A,B
14,Rain,Fall,Drop,Coat,A,A,A
15,Green,House,Screen,Ever,A,A,B
16,Moon,Full,Light,Walk,B,A,A
17,Bear,Black,Hug,Trap,B,A,A
18,Sweet,Heart,Pea,Bitter,A,A,B
19,Finger,Ring,Lady,Middle,B,B,B
20,White,Snow,Water,Noise,B,A,A
21,Box,Shoe,Office,Post,B,A,B
22,Ground,Coffee,Under,Rules,B,B,A
23,Salt,Table,Sea,Mine,B,B,A
24,Bow,Tie,String,Rain,A,A,B
25,After,Glow,Shock,Taste,A,A,A
26,Door,Stop,Back,Stage,A,B,B
27,House,Dog,Full,Bird,B,B,B
28,Place,Fire,Mat,First,B,A,B
29,Watering,Can,Mouth,Hole,A,B,A
30,Horse,Sea,Fly,Box,B,A,A
31,Way,High,Point,One,B,A,B
32,American,Dream,North,Pie,A,B,A
33,Land,Grass,Ice,Mark,B,B,A
34,Blind,Side,Fold,Colour,A,A,B
35,Paper,Fly,Clip,Wall,B,A,B
36,Cross,Hair,Wind,Double,A,A,B
37,Long,Hand,Foot,Jump,A,B,A
38,Hand,Under,Stage,Some,B,B,A
39,Stand,Band,Night,Off,B,B,A
40,Dress,Head,Down,Shirt,B,A,A
41,Fire,Ball,Back,Wild,A,B,B
42,Jack,Fruit,Knife,Flap,A,A,B
43,Bank,Note,River,Holiday,A,B,A
44,Ever,More,Green,For,A,A,B
45,Handle,Love,Man,Bar,B,B,A
46,Switch,Light,Board,Off,B,A,A
47,Wind,Wood,Tail,Head,B,B,B
48,Lock,Box,Door,Smith,A,B,A
49,Board,Room,Cup,Key,A,B,B
50,Ear,Mark,Ring,Wig,A,A,A
51,Dragon,Fruit,Fly,Snap,A,A,B
52,Sink,Hole,Counter,Heat,A,B,B
53,Spice,Baby,All,Rack,B,B,A
54,Chicken,Run,Leg,Wire,A,A,A
55,River,Bed,Dance,Island,A,A,A
56,Face,Lift,Type,Clock,A,B,B
57,Dust,Star,Pan,Bin,B,A,A
58,Deck,Hand,Chair,Below,A,A,B
59,Bird,House,Bath,Song,A,A,A
60,Mail,Room,Box,Black,A,A,B
