Id,Solution,Clue1,Clue2,Clue3
1,Screen,Green,Shot,Play
2,Weight,Paper,Feather,Heavy
3,Star,Light,Rock,Sign
4,Pack,Back,Six,Jet
5,Chair,Arm,Lift,High
6,Party,House,Hat,Animal
7,Set,Sun,Up,Back
8,Pepper,Black,Bell,Corn
9,Fish,Gold,Eye,Fly 
10,Day,Time,Sun,Light
11,Bed,Flower,Bug,Room
12,Gun,Fire,Machine,Glue
13,Lamp,Desk,Post,Street
14,Rain,Fall,Drop,Coat
15,Green,House,Screen,Ever
16,Moon,Full,Light,Walk
17,Bear,Black,Hug,Trap
18,Sweet,Heart,Pea,Bitter
19,Finger,Little,Green,Lady
20,White,Snow,Water,Noise
21,Box,Shoe,Office,Post
22,Ground,Coffee,Under,Rules
23,Salt,Table,Sea,Mine
24,Bow,Tie,String,Rain
25,After,Glow,Shock,Taste
26,Door,Stop,Back,Stage
27,House,Dog,Full,Bird
28,Place,Fire,Mat,First
29,Watering,Can,Mouth,Hole
30,Horse,Sea,Fly,Box
31,Way,High,Point,One
32,American,Dream,North,Pie
33,Land,Grass,Ice,Mark
34,Blind,Side,Fold,Colour
35,Paper,Fly,Clip,Wall
36,Cross,Hair,Wind,Double
37,Long,Hand,Foot,Jump
38,Hand,Under,Stage,Some
39,Stand,Band,Night,Off
40,Dress,Head,Down,Shirt
41,Fire,Ball,Back,Wild
42,Jack,Fruit,Knife,Flap
43,Bank,Note,River,Holiday
44,Ever,More,Green,For
45,Handle,Love,Man,Bar
46,Switch,Light,Board,Blade
47,Wind,Wood,Tail,Head
48,Lock,Box,Door,Smith
49,Board,Room,Cup,Key
50,Ear,Mark,Ring,Wig
51,Dragon,Fruit,Fly,Snap
52,Sink,Hole,Counter,Basin
53,Spice,Baby,All,Rack
54,Chicken,Run,Leg,Wire
55,River,Bed,Dance,Down
56,Face,Lift,Type,Clock
57,Dust,Star,Pan,Bin
58,Deck,Hand,House,Sun
59,Bird,House,Bath,Song
60,Mail,Room,Box,Black
61,Formula,Baby,One,Chemical
62,Sand,Bag,Storm,Quick
63,Base,Camp,Line,Data
64,Night,Time,Club,Mid
65,Pole,South,Flag,Star
66,Pink,Baby,Eye,Lady
67,Ball,Base,Eight,Park
68,Life,Time,After,Insurance
69,Wheel,Fly,House,Cart
70,Track,Record,On,Sound
71,Para,Graph,Site,Phrase
72,Hedge,Row,Fund,Hog
73,Oven,Glove,Gas,Ready
74,Stop,Full,Sign,Bus
75,Head,Clear,Master,Hammer
76,Resistance,Air,Training,French
77,Honey,Dew,Badger,Bee
78,Straw,Berry,Hat,Final
79,Mouse,Mat,House,Trap
80,Cell,Wall,Phone,Stem
81,Chuck,Wood,Steak,Norris
82,Death,Wish,Black,Sudden
83,Bunny,Ears,Boiler,Easter
84,Collar,Blue,Bone,Dog
85,Hour,Happy,Glass,Rush
86,Tail,Wind,Gate,Pony
87,Tide,High,Rip,Low
88,Ant,Nest,Army,Eater
89,Car,Boot,Pet,Wash
90,Pie,Chart,American,Apple
91,Free,Hand,Hold,Wheel
92,Bike,Dirt,Rack,Motor
93,Iron,Lady,Man,Lung
94,Lift,Chair,Off,Weight
95,Bee,Queen,Honey,Hive
96,Player,Team,Record,Multi
97,Coast,Line,Gold,Guard
98,Clock,Wise,Work,Alarm
99,Branch,Tree,Line,Olive
100,Hyper,Link,Active,Sensitive
101,Piece,Master,Set,Mouth
102,Aqua,Marine,Plane,Tic
103,Chain,Mail,Saw,Daisy
104,Tap,Wire,Dance,Water
105,Noise,White,Level,Background
